created_at,entry_id,field1,field2,field3
2023-07-03 18:21:52 UTC,20,1,27,"6,10,12,5,13,6,12,3"
2023-07-03 18:22:15 UTC,21,1,24,"5,11,13,10,4,6,11,13"
2023-07-03 18:22:34 UTC,22,1,19,"6,9,12,13,5,14,3,3"
2023-07-03 18:22:58 UTC,23,1,26,"5,11,9,12,3,8,3,14"
2023-07-03 18:23:22 UTC,24,1,22,"5,9,12,6,13,12,7,6"
2023-07-03 18:23:42 UTC,25,1,23,"7,5,9,7,12,6,3,3"
2023-07-03 18:24:06 UTC,26,1,25,"5,8,11,8,13,9,2,4"
2023-07-03 18:24:26 UTC,27,1,24,"5,11,13,1,13,3,12,12"
2023-07-03 18:24:47 UTC,28,1,25,"7,11,13,7,3,8,4,15"
2023-07-03 18:25:07 UTC,29,1,25,"4,12,2,12,12,6,1,11"
2023-07-03 18:25:29 UTC,30,1,21,"5,8,12,1,13,2,11,15"
2023-07-03 18:25:58 UTC,31,1,28,"5,10,14,4,12,16,2,3"
2023-07-03 18:26:52 UTC,32,2,32,"5,11,11,10,5,9,7,16"
2023-07-03 18:27:15 UTC,33,2,42,"3,3,12,12,7,6,3,8"
2023-07-03 18:27:36 UTC,34,2,34,"5,11,11,13,4,11,12,5"
2023-07-03 18:27:57 UTC,35,2,30,"4,11,12,13,4,10,8,9"
2023-07-03 18:30:11 UTC,38,2,29,"3,11,10,13,3,6,14,4"
2023-07-03 18:30:34 UTC,39,2,46,"0,2,6,13,5,2,14,13"
2023-07-03 18:30:56 UTC,40,2,23,"2,11,12,13,4,10,7,11"
2023-07-03 18:31:17 UTC,41,2,28,"5,11,9,12,3,10,12,3"
2023-07-03 18:31:39 UTC,42,2,36,"4,7,4,7,12,2,11,6"
2023-07-03 18:33:21 UTC,43,2,22,"9,10,4,12,4,3,12,14"
2023-07-03 18:33:44 UTC,44,2,26,"4,11,11,13,3,10,3,6"
2023-07-03 18:34:08 UTC,45,2,30,"7,10,9,5,6,7,6,4"
2023-07-03 18:34:30 UTC,46,2,31,"5,11,12,6,7,8,14,3"
2023-07-03 18:34:55 UTC,47,2,39,"0,2,13,16,14,6,5,15"
2023-07-03 18:35:18 UTC,48,2,33,"5,11,6,10,5,1,0,11"
2023-07-03 18:37:52 UTC,49,3,39,"4,10,11,6,3,11,2,9"
2023-07-03 18:38:14 UTC,50,3,41,"5,11,13,12,3,11,12,3"
2023-07-03 18:38:36 UTC,51,3,40,"4,11,11,14,1,5,1,13"
2023-07-03 18:38:59 UTC,52,3,40,"2,11,12,7,11,4,12,5"
2023-07-03 18:39:23 UTC,53,3,40,"6,11,12,6,5,12,13,4"
2023-07-03 18:39:46 UTC,54,3,43,"6,8,3,13,11,1,1,3"
2023-07-03 18:40:09 UTC,55,3,33,"11,11,12,3,2,11,3,9"
2023-07-03 18:40:32 UTC,56,3,44,"4,11,12,3,4,12,15,3"
2023-07-03 18:41:04 UTC,57,3,41,"6,11,10,5,9,2,9,3"
2023-07-03 18:41:27 UTC,58,3,38,"6,9,11,4,2,2,12,5"
2023-07-03 18:41:51 UTC,59,3,39,"5,11,11,12,1,9,2,10"
2023-07-03 18:43:03 UTC,61,3,45,"4,9,11,7,3,12,4,5"
2023-07-03 18:43:28 UTC,62,3,40,"4,11,7,8,6,10,2,4"
2023-07-03 18:44:05 UTC,63,3,40,"5,11,12,4,13,1,1,7"
2023-07-03 18:44:31 UTC,64,3,40,"5,11,2,10,13,1,2,12"
2023-07-03 18:45:39 UTC,65,4,40,"3,10,12,12,5,6,12,8"
2023-07-03 18:46:01 UTC,66,4,38,"5,10,12,5,13,4,6,6"
2023-07-03 18:46:24 UTC,67,4,37,"9,10,11,6,12,5,6,3"
2023-07-03 18:46:59 UTC,68,4,38,"5,11,11,3,9,6,9,3"
2023-07-03 18:47:20 UTC,69,4,32,"12,11,9,7,15,4,9,4"
2023-07-03 18:47:45 UTC,70,4,39,"4,11,4,13,12,2,1,11"
2023-07-03 18:48:07 UTC,71,4,40,"7,11,9,3,12,2,12,3"
2023-07-03 18:48:37 UTC,72,4,40,"5,11,10,3,12,4,14,3"
2023-07-03 18:49:01 UTC,73,4,34,"9,10,11,7,3,10,14,4"
2023-07-03 18:49:35 UTC,74,4,35,"11,11,11,12,5,11,10,4"
2023-07-03 18:49:58 UTC,75,4,34,"9,11,11,7,5,6,16,3"
2023-07-03 18:50:20 UTC,76,4,34,"8,11,11,14,5,11,3,2"
2023-07-03 18:50:47 UTC,77,4,40,"4,10,2,8,13,1,6,7"
2023-07-03 18:51:13 UTC,78,4,40,"5,12,13,13,1,4,1,4"
2023-07-03 18:51:35 UTC,79,4,35,"7,11,7,5,6,8,2,3"
2023-07-03 18:52:33 UTC,80,5,45,"5,9,7,7,7,4,8,6"
2023-07-03 18:52:57 UTC,81,5,44,"6,12,7,7,14,2,12,3"
2023-07-03 18:53:48 UTC,82,5,43,"5,11,7,8,13,3,12,2"
2023-07-03 18:54:12 UTC,83,5,44,"4,11,6,10,13,7,1,2"
2023-07-03 18:54:40 UTC,84,5,50,"5,10,12,6,8,5,13,3"
2023-07-03 18:55:02 UTC,85,5,39,"4,11,12,9,5,11,12,6"
2023-07-03 18:55:28 UTC,86,5,43,"5,11,11,12,8,2,3,4"
2023-07-03 18:55:51 UTC,87,5,38,"6,12,11,7,4,12,7,5"
2023-07-03 18:56:14 UTC,88,5,44,"5,11,12,13,2,11,4,7"
2023-07-03 18:56:40 UTC,89,5,48,"5,11,4,8,5,2,14,3"
2023-07-03 18:57:21 UTC,90,5,48,"6,10,8,2,12,2,10,4"
2023-07-03 18:57:47 UTC,91,5,48,"8,11,3,13,5,14,10,2"
2023-07-03 18:58:45 UTC,92,5,53,"1,11,8,11,5,5,3,9"
2023-07-03 18:59:09 UTC,93,5,51,"5,10,12,6,8,5,3,14"
2023-07-03 18:59:36 UTC,94,5,50,"5,12,12,16,2,10,2,16"
2023-07-03 19:17:46 UTC,104,6,55,"13,4,7,8,13,3,2,1"
2023-07-03 19:18:12 UTC,105,6,58,"8,10,12,7,5,10,14,3"
2023-07-03 19:18:41 UTC,106,6,95,"3,11,9,14,4,14,15,4"
2023-07-03 19:19:12 UTC,107,6,84,"4,10,6,10,5,5,14,5"
2023-07-03 19:19:44 UTC,108,6,71,"0,7,14,12,5,11,11,7"
2023-07-03 19:20:20 UTC,109,6,71,"0,2,12,14,5,12,6,13"
2023-07-03 19:20:46 UTC,110,6,64,"0,3,11,12,14,7,7,14"
2023-07-03 19:21:13 UTC,111,6,79,"2,8,13,2,7,3,14,4"
2023-07-03 19:21:48 UTC,112,6,89,"2,9,6,14,3,15,4,11"
2023-07-03 19:22:14 UTC,113,6,72,"2,4,11,14,6,12,8,6"
2023-07-03 19:22:45 UTC,114,6,68,"12,3,7,7,14,3,14,2"
2023-07-03 19:23:18 UTC,115,6,79,"3,8,14,4,10,6,13,3"
2023-07-03 19:24:32 UTC,116,6,59,"12,12,3,10,13,8,11,4"
2023-07-03 19:25:10 UTC,117,6,56,"12,10,4,14,14,3,9,4"
2023-07-03 19:26:12 UTC,118,6,78,"0,3,14,13,10,11,5,11"
